2024-11-12 10:52:57.2341807 UTC: main(): Argument: D:\cppAppDev\cpp\debugging\x64\Debug\01_startTimeDebugMode.exe
2024-11-12 10:52:57.2388555 UTC: main(): Argument: -d
2024-11-12 10:52:57.2391020 UTC: trickyFunction(): given argument: ComplicatedClass
2024-11-12 10:52:57.2393095 UTC: trickyFunction(): retrieved cmd 0: UserCommand
2024-11-12 10:52:57.2395349 UTC: trickyFunction(): retrieved cmd 1: UserCommand
2024-11-12 10:52:57.2397440 UTC: trickyFunction(): retrieved cmd 2: UserCommand
2024-11-12 10:52:57.2399731 UTC: trickyFunction(): retrieved cmd 3: UserCommand
2024-11-12 10:52:57.2401793 UTC: trickyFunction(): retrieved cmd 4: UserCommand
2024-11-12 10:52:57.2410044 UTC: trickyFunction(): retrieved cmd 5: UserCommand
2024-11-12 10:52:57.2413269 UTC: trickyFunction(): retrieved cmd 6: UserCommand
2024-11-12 10:52:57.2416366 UTC: trickyFunction(): retrieved cmd 7: UserCommand
2024-11-12 10:52:57.2419402 UTC: trickyFunction(): retrieved cmd 8: UserCommand
2024-11-12 10:52:57.2422613 UTC: trickyFunction(): retrieved cmd 9: UserCommand
2024-11-12 10:52:57.2425744 UTC: trickyFunction(): retrieved cmd 10: UserCommand
2024-11-12 10:52:57.2428877 UTC: trickyFunction(): retrieved cmd 11: UserCommand
2024-11-12 10:52:57.2432092 UTC: trickyFunction(): retrieved cmd 12: UserCommand
2024-11-12 10:52:57.2435591 UTC: trickyFunction(): retrieved cmd 13: UserCommand
2024-11-12 10:52:57.2438923 UTC: trickyFunction(): retrieved cmd 14: UserCommand
2024-11-12 10:52:57.2442258 UTC: trickyFunction(): retrieved cmd 15: UserCommand
2024-11-12 10:52:57.2445316 UTC: trickyFunction(): retrieved cmd 16: UserCommand
2024-11-12 10:52:57.2448473 UTC: trickyFunction(): retrieved cmd 17: UserCommand
2024-11-12 10:52:57.2451495 UTC: trickyFunction(): retrieved cmd 18: UserCommand
2024-11-12 10:52:57.2454663 UTC: trickyFunction(): retrieved cmd 19: UserCommand
