2024-11-12 11:05:48.2027383 UTC: main(): Argument: D:\cppAppDev\cpp\debugging\x64\Debug\02_compileTimeDebugMode.exe
2024-11-12 11:05:48.2037588 UTC: trickyFunction(): given argument: ComplicatedClass
2024-11-12 11:05:48.2040207 UTC: trickyFunction(): retrieved cmd 0: UserCommand
2024-11-12 11:05:48.2042835 UTC: trickyFunction(): retrieved cmd 1: UserCommand
2024-11-12 11:05:48.2045345 UTC: trickyFunction(): retrieved cmd 2: UserCommand
2024-11-12 11:05:48.2048276 UTC: trickyFunction(): retrieved cmd 3: UserCommand
2024-11-12 11:05:48.2051269 UTC: trickyFunction(): retrieved cmd 4: UserCommand
2024-11-12 11:05:48.2060559 UTC: trickyFunction(): retrieved cmd 5: UserCommand
2024-11-12 11:05:48.2064472 UTC: trickyFunction(): retrieved cmd 6: UserCommand
2024-11-12 11:05:48.2067912 UTC: trickyFunction(): retrieved cmd 7: UserCommand
2024-11-12 11:05:48.2071441 UTC: trickyFunction(): retrieved cmd 8: UserCommand
2024-11-12 11:05:48.2075613 UTC: trickyFunction(): retrieved cmd 9: UserCommand
2024-11-12 11:05:48.2079311 UTC: trickyFunction(): retrieved cmd 10: UserCommand
2024-11-12 11:05:48.2082743 UTC: trickyFunction(): retrieved cmd 11: UserCommand
2024-11-12 11:05:48.2085820 UTC: trickyFunction(): retrieved cmd 12: UserCommand
2024-11-12 11:05:48.2089370 UTC: trickyFunction(): retrieved cmd 13: UserCommand
2024-11-12 11:05:48.2092722 UTC: trickyFunction(): retrieved cmd 14: UserCommand
2024-11-12 11:05:48.2095712 UTC: trickyFunction(): retrieved cmd 15: UserCommand
2024-11-12 11:05:48.2099193 UTC: trickyFunction(): retrieved cmd 16: UserCommand
2024-11-12 11:05:48.2102506 UTC: trickyFunction(): retrieved cmd 17: UserCommand
2024-11-12 11:05:48.2105647 UTC: trickyFunction(): retrieved cmd 18: UserCommand
2024-11-12 11:05:48.2110816 UTC: trickyFunction(): retrieved cmd 19: UserCommand
2024-11-12 11:05:48.2114094 UTC: trickyFunction(): retrieved cmd 20: UserCommand
2024-11-12 11:05:48.2117585 UTC: trickyFunction(): retrieved cmd 21: UserCommand
2024-11-12 11:05:48.2119822 UTC: trickyFunction(): retrieved cmd 22: UserCommand
2024-11-12 11:05:48.2121945 UTC: trickyFunction(): retrieved cmd 23: UserCommand
2024-11-12 11:05:48.2124071 UTC: trickyFunction(): retrieved cmd 24: UserCommand
2024-11-12 11:05:48.2126738 UTC: trickyFunction(): retrieved cmd 25: UserCommand
2024-11-12 11:05:48.2130373 UTC: trickyFunction(): retrieved cmd 26: UserCommand
2024-11-12 11:05:48.2133973 UTC: trickyFunction(): retrieved cmd 27: UserCommand
2024-11-12 11:05:48.2137868 UTC: trickyFunction(): retrieved cmd 28: UserCommand
2024-11-12 11:05:48.2141069 UTC: trickyFunction(): retrieved cmd 29: UserCommand
2024-11-12 11:05:48.2144209 UTC: trickyFunction(): retrieved cmd 30: UserCommand
2024-11-12 11:05:48.2147445 UTC: trickyFunction(): retrieved cmd 31: UserCommand
2024-11-12 11:05:48.2150938 UTC: trickyFunction(): retrieved cmd 32: UserCommand
2024-11-12 11:05:48.2153802 UTC: trickyFunction(): retrieved cmd 33: UserCommand
2024-11-12 11:05:48.2156076 UTC: trickyFunction(): retrieved cmd 34: UserCommand
2024-11-12 11:05:48.2158526 UTC: trickyFunction(): retrieved cmd 35: UserCommand
2024-11-12 11:05:48.2161535 UTC: trickyFunction(): retrieved cmd 36: UserCommand
2024-11-12 11:05:48.2165082 UTC: trickyFunction(): retrieved cmd 37: UserCommand
2024-11-12 11:05:48.2168953 UTC: trickyFunction(): retrieved cmd 38: UserCommand
2024-11-12 11:05:48.2172429 UTC: trickyFunction(): retrieved cmd 39: UserCommand
2024-11-12 11:05:48.2176085 UTC: trickyFunction(): retrieved cmd 40: UserCommand
2024-11-12 11:05:48.2179384 UTC: trickyFunction(): retrieved cmd 41: UserCommand
2024-11-12 11:05:48.2182588 UTC: trickyFunction(): retrieved cmd 42: UserCommand
2024-11-12 11:05:48.2184958 UTC: trickyFunction(): retrieved cmd 43: UserCommand
2024-11-12 11:05:48.2187105 UTC: trickyFunction(): retrieved cmd 44: UserCommand
2024-11-12 11:05:48.2191722 UTC: trickyFunction(): retrieved cmd 45: UserCommand
2024-11-12 11:05:48.2194344 UTC: trickyFunction(): retrieved cmd 46: UserCommand
2024-11-12 11:05:48.2196579 UTC: trickyFunction(): retrieved cmd 47: UserCommand
2024-11-12 11:05:48.2199076 UTC: trickyFunction(): retrieved cmd 48: UserCommand
2024-11-12 11:05:48.2201306 UTC: trickyFunction(): retrieved cmd 49: UserCommand
2024-11-12 11:05:48.2204205 UTC: trickyFunction(): retrieved cmd 50: UserCommand
2024-11-12 11:05:48.2207172 UTC: trickyFunction(): retrieved cmd 51: UserCommand
2024-11-12 11:05:48.2210484 UTC: trickyFunction(): retrieved cmd 52: UserCommand
2024-11-12 11:05:48.2213908 UTC: trickyFunction(): retrieved cmd 53: UserCommand
2024-11-12 11:05:48.2217374 UTC: trickyFunction(): retrieved cmd 54: UserCommand
2024-11-12 11:05:48.2220471 UTC: trickyFunction(): retrieved cmd 55: UserCommand
2024-11-12 11:05:48.2223438 UTC: trickyFunction(): retrieved cmd 56: UserCommand
2024-11-12 11:05:48.2227060 UTC: trickyFunction(): retrieved cmd 57: UserCommand
2024-11-12 11:05:48.2230500 UTC: trickyFunction(): retrieved cmd 58: UserCommand
2024-11-12 11:05:48.2233950 UTC: trickyFunction(): retrieved cmd 59: UserCommand
2024-11-12 11:05:48.2237336 UTC: trickyFunction(): retrieved cmd 60: UserCommand
2024-11-12 11:05:48.2242611 UTC: trickyFunction(): retrieved cmd 61: UserCommand
2024-11-12 11:05:48.2245593 UTC: trickyFunction(): retrieved cmd 62: UserCommand
2024-11-12 11:05:48.2248353 UTC: trickyFunction(): retrieved cmd 63: UserCommand
2024-11-12 11:05:48.2250852 UTC: trickyFunction(): retrieved cmd 64: UserCommand
2024-11-12 11:05:48.2253306 UTC: trickyFunction(): retrieved cmd 65: UserCommand
2024-11-12 11:05:48.2255639 UTC: trickyFunction(): retrieved cmd 66: UserCommand
2024-11-12 11:05:48.2258050 UTC: trickyFunction(): retrieved cmd 67: UserCommand
2024-11-12 11:05:48.2260212 UTC: trickyFunction(): retrieved cmd 68: UserCommand
2024-11-12 11:05:48.2262482 UTC: trickyFunction(): retrieved cmd 69: UserCommand
2024-11-12 11:05:48.2264502 UTC: trickyFunction(): retrieved cmd 70: UserCommand
2024-11-12 11:05:48.2266797 UTC: trickyFunction(): retrieved cmd 71: UserCommand
2024-11-12 11:05:48.2268820 UTC: trickyFunction(): retrieved cmd 72: UserCommand
2024-11-12 11:05:48.2270832 UTC: trickyFunction(): retrieved cmd 73: UserCommand
2024-11-12 11:05:48.2272823 UTC: trickyFunction(): retrieved cmd 74: UserCommand
2024-11-12 11:05:48.2275094 UTC: trickyFunction(): retrieved cmd 75: UserCommand
2024-11-12 11:05:48.2277071 UTC: trickyFunction(): retrieved cmd 76: UserCommand
2024-11-12 11:05:48.2279099 UTC: trickyFunction(): retrieved cmd 77: UserCommand
2024-11-12 11:05:48.2281068 UTC: trickyFunction(): retrieved cmd 78: UserCommand
2024-11-12 11:05:48.2283077 UTC: trickyFunction(): retrieved cmd 79: UserCommand
2024-11-12 11:05:48.2285061 UTC: trickyFunction(): retrieved cmd 80: UserCommand
2024-11-12 11:05:48.2287063 UTC: trickyFunction(): retrieved cmd 81: UserCommand
2024-11-12 11:05:48.2289082 UTC: trickyFunction(): retrieved cmd 82: UserCommand
2024-11-12 11:05:48.2291102 UTC: trickyFunction(): retrieved cmd 83: UserCommand
2024-11-12 11:05:48.2293109 UTC: trickyFunction(): retrieved cmd 84: UserCommand
2024-11-12 11:05:48.2295114 UTC: trickyFunction(): retrieved cmd 85: UserCommand
2024-11-12 11:05:48.2297098 UTC: trickyFunction(): retrieved cmd 86: UserCommand
2024-11-12 11:05:48.2299155 UTC: trickyFunction(): retrieved cmd 87: UserCommand
2024-11-12 11:05:48.2301158 UTC: trickyFunction(): retrieved cmd 88: UserCommand
2024-11-12 11:05:48.2303298 UTC: trickyFunction(): retrieved cmd 89: UserCommand
2024-11-12 11:05:48.2305286 UTC: trickyFunction(): retrieved cmd 90: UserCommand
2024-11-12 11:05:48.2307300 UTC: trickyFunction(): retrieved cmd 91: UserCommand
2024-11-12 11:05:48.2309300 UTC: trickyFunction(): retrieved cmd 92: UserCommand
2024-11-12 11:05:48.2311298 UTC: trickyFunction(): retrieved cmd 93: UserCommand
2024-11-12 11:05:48.2313277 UTC: trickyFunction(): retrieved cmd 94: UserCommand
2024-11-12 11:05:48.2315281 UTC: trickyFunction(): retrieved cmd 95: UserCommand
2024-11-12 11:05:48.2317283 UTC: trickyFunction(): retrieved cmd 96: UserCommand
2024-11-12 11:05:48.2319299 UTC: trickyFunction(): retrieved cmd 97: UserCommand
2024-11-12 11:05:48.2321616 UTC: trickyFunction(): retrieved cmd 98: UserCommand
2024-11-12 11:05:48.2323674 UTC: trickyFunction(): retrieved cmd 99: UserCommand
